weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -3.132517602200023000e+15 3.413746582299576460e+01 3.627436172775411904e+01 9.492656649263384594e-01 2.424114659657591275e+01 1.069811853258951498e-03
0.000000000000000000e+00 -3.120244595787901000e+15 3.039849129759432600e+01 2.055174878398342742e+01 1.718906005251262803e-01 4.325378857210012029e+01 1.072626628031930198e-03
0.000000000000000000e+00 -3.091363987818688000e+15 2.348163841372910809e+01 1.392607183307634777e+01 4.826143941758030964e-01 3.498004923180145198e+01 1.081877195735755698e-03
0.000000000000000000e+00 -3.069017127971100000e+15 2.246009785613465226e+01 4.720561814308491222e+01 8.721535418185313304e-01 2.491868410584707760e+01 1.090434468545156601e-03
0.000000000000000000e+00 -2.968229289877408500e+15 1.416940780222356189e+01 2.729714784122596427e+01 2.026107370029309185e-01 4.340944273282256205e+01 1.120150757940178380e-03
0.000000000000000000e+00 -2.960481276564563500e+15 2.564788391070736395e+01 4.915513085823023687e+01 1.050968362765711595e+00 9.786869426329671384e+00 1.121712154954546993e-03
0.000000000000000000e+00 -2.829615805688451000e+15 3.381743295949591754e+01 4.346325810339022411e+01 1.497402667781608798e+00 1.649218207627775001e+01 1.161177336527398178e-03
0.000000000000000000e+00 -2.800616833207390000e+15 3.331524376366280649e+01 4.017709704486585309e+01 1.349868742189242798e+00 2.819401377907432860e+01 1.170644252477450603e-03
0.000000000000000000e+00 -2.756431287248464000e+15 1.183618397852754711e+01 3.785252464907876657e+01 3.734390622852161168e-01 4.009318346413749623e+01 1.189741559283847118e-03
0.000000000000000000e+00 -2.604752481228451500e+15 3.617022085793344388e+01 2.026164764108708383e+01 8.702117366407644550e-01 2.085574349852115716e+01 1.238287307685228883e-03
0.000000000000000000e+00 -2.470462107171035500e+15 1.913950529419698654e+01 6.221524039829917641e+00 9.122826273287345522e-01 1.947155047679801143e+01 1.295435583682268263e-03
0.000000000000000000e+00 -2.376254612935553500e+15 1.412821735046954785e+01 2.246846023088998479e+01 5.982322367813055486e-01 1.999126763263105389e+01 1.338686433683485347e-03
0.000000000000000000e+00 -2.270343417277961000e+15 1.824295330415453975e+01 4.062972983721047093e-02 3.121392395105954121e-01 4.517916781640423096e+01 1.385929220118976802e-03
0.000000000000000000e+00 -1.790101928335889500e+15 1.109194844998805074e+01 2.394772706243439231e+01 8.222401119456141938e-01 3.195986790754652773e+01 1.684217440856480884e-03
0.000000000000000000e+00 -1.781517663833579750e+15 2.596687523677633180e+01 6.965584558703835860e+00 8.916399922701402359e-01 1.865522234844326732e+01 1.684433859453230743e-03
0.000000000000000000e+00 -1.770930598663148500e+15 1.361518938632559639e+01 1.445703573344256299e+01 6.916449931477802737e-01 4.429468963404733017e+01 1.697269577062323655e-03
0.000000000000000000e+00 -1.701887883918600000e+15 1.042459824764670628e+01 8.334490057455102630e+00 9.564763107842118028e-01 4.024270880487588897e+01 1.753739605570644880e-03
0.000000000000000000e+00 -1.382958933545912000e+15 3.094246107275222002e+01 3.762865688151068255e+00 1.128337569518545358e+00 5.343877679063810149e+01 2.067240474658098553e-03
0.000000000000000000e+00 -1.314923667947825500e+15 5.770604534842878941e+00 2.502401711895831227e+01 2.339347542229099353e-01 1.338819677443991374e+01 2.165062543238009413e-03
0.000000000000000000e+00 -1.303705092403887000e+15 5.442058651388333779e+00 4.867912043060432836e+01 8.126553560557936429e-02 3.253817895590409570e+00 2.182541105175642582e-03
0.000000000000000000e+00 -1.266617690424212000e+15 1.678833436387277800e+01 2.106557823487847259e+01 4.524357653721277073e-01 3.144663940514060840e+01 2.227232353329735258e-03
0.000000000000000000e+00 -1.252776529924637750e+15 2.120411735514730367e+01 7.311914773776384990e+00 2.315257536900620083e-01 1.303162818782651300e+01 2.243247389496066339e-03
0.000000000000000000e+00 -1.228962355286618500e+15 9.116249917507342815e+00 5.060308274898456027e+00 1.415387720985269215e+00 1.892731487865324524e+01 2.285692685890693826e-03
0.000000000000000000e+00 -1.124914170115940750e+15 3.727497171462147207e+01 4.173887109664575235e+01 1.770651817377830728e-01 5.030060399101127189e+01 2.445212200878334793e-03
0.000000000000000000e+00 -8.976388319233032500e+14 1.449232959679519617e+01 3.102525484742553630e+01 2.917002293398669455e-01 4.994877681699160377e+01 2.949717826289356519e-03
0.000000000000000000e+00 -7.716758193519535000e+14 2.851086277146454862e+01 3.060918921649699698e+01 1.436874665399856976e+00 2.910133696244861667e+01 3.328102999651129986e-03
0.000000000000000000e+00 -7.671601707006312500e+14 1.860410247669512174e+01 4.513129457083095986e+01 7.660919534068928449e-01 2.944697777401546190e+01 3.351145560043012651e-03
0.000000000000000000e+00 -6.581110730172440000e+14 2.854159033570132209e+01 1.366236217143766396e+01 9.138118775728680809e-01 4.090846219221058533e+01 3.781422724809005344e-03
0.000000000000000000e+00 -6.057248023896855000e+14 3.786445990777026083e+01 3.533238687081281171e+01 1.315650702959328289e+00 3.932377179792631949e+01 4.040945975962688917e-03
0.000000000000000000e+00 -5.862382123859097500e+14 3.745014715505500646e+01 4.759153069141734704e+01 1.108252882901478831e+00 2.333395186767591412e+01 4.150471847762984140e-03
0.000000000000000000e+00 -5.849292987473521250e+14 1.521861750940765923e+01 4.015959248778605328e+00 8.912191061615549748e-01 1.331110421566151381e+01 4.166793054884734143e-03
0.000000000000000000e+00 -5.529587009202812500e+14 2.457172016404445003e+01 2.236285199110893274e+01 8.876339311319140224e-01 2.700141419357643358e+01 4.355281031181742861e-03
0.000000000000000000e+00 -5.396015413228290625e+14 1.653430392336228394e+01 3.734295233445455864e+01 1.713960474679895873e-01 4.096448705707401672e+01 4.449461903685217844e-03
0.000000000000000000e+00 -5.322834571585481250e+14 1.090270489472957927e+01 3.186998836150037206e+01 1.491707250060367418e+00 5.648063187340304125e+01 4.506983964426110149e-03
0.000000000000000000e+00 -4.854883857473977500e+14 6.939566787630182532e+00 2.442733292724087946e+01 1.441305062873982079e+00 4.130421765807920309e+01 4.852561475506530012e-03
0.000000000000000000e+00 -4.700732105567727500e+14 2.492662191866086019e+01 2.945812754988171278e+01 4.421182308000528582e-01 2.570039300963748019e+01 4.958697726482517130e-03
0.000000000000000000e+00 -4.536195667504143750e+14 3.611644364025757170e+01 2.870480222374962409e+01 7.556048140393010204e-01 1.363431082586908083e+01 5.090949975941285247e-03
0.000000000000000000e+00 -4.287072174103453750e+14 1.235021735250301589e+01 3.419239014113268382e+01 3.924777782834332207e-02 2.707447717114186858e+01 5.347482581802861720e-03
0.000000000000000000e+00 -3.998999157397113750e+14 8.408904511574569085e+00 1.624273627183685420e+01 6.668725524249552450e-01 2.206761860794926733e+01 5.651850214300506089e-03
0.000000000000000000e+00 -3.928747103197772500e+14 8.566414832028922177e+00 1.734887494931242058e+00 9.590565600191491846e-01 5.772611972517388068e+01 5.729683008631477649e-03
0.000000000000000000e+00 -3.865709608343843750e+14 8.631929690892841123e+00 2.751322046811710553e+00 1.388100197797992541e+00 4.792546330230544527e+01 5.804863884017636387e-03
0.000000000000000000e+00 -3.861320215456848125e+14 2.340381376836723959e+01 1.526240926715700041e+01 1.274542200310184170e-01 4.760988845927291635e+01 5.791363914699335265e-03
0.000000000000000000e+00 -3.686422194468338750e+14 2.654252399935094431e+01 2.503861760378219969e+01 2.214111981866585532e-01 2.662072710833066225e+01 6.004836314347891842e-03
0.000000000000000000e+00 -3.450882933560801875e+14 2.897115512611952326e+01 4.238147091402068867e+01 8.845658620679249795e-01 5.405208196818126254e+01 6.328834724082909279e-03
0.000000000000000000e+00 -2.720549296330769062e+14 2.694994992284789959e+01 8.817535466263432653e+00 1.038259544851989569e+00 4.171452688123353880e+01 7.597511918637146755e-03
0.000000000000000000e+00 -2.413201195428687500e+14 3.923943140452411882e+01 3.117570951140255531e+01 1.102306446042223831e-01 5.974139807918597000e+01 8.306965373200535935e-03
0.000000000000000000e+00 -2.327988929871442500e+14 5.156805572990819542e+00 1.593365402859128821e+01 4.517855039892221258e-02 4.746034232192112512e+01 8.583056387877470092e-03
0.000000000000000000e+00 -2.129210513099461250e+14 3.755290964475945259e+01 3.067661686559957701e+01 4.176108503679948902e-01 1.853884603557200350e+01 9.130808762701395770e-03
0.000000000000000000e+00 -2.040768290508056562e+14 2.900861945568756184e+01 6.604357865575249953e+00 1.219747793394781565e+00 4.394575573638684318e+01 9.436922902005269453e-03
0.000000000000000000e+00 -1.874739232418845938e+14 2.480829405051327541e+01 1.524220272061030990e+01 1.608927146694923982e-01 1.951228037404452209e+01 1.005296430977874710e-02
0.000000000000000000e+00 -1.794063503227018125e+14 2.486259310695251656e+01 4.270204527393543259e+01 3.855650557916702192e-01 1.835102728911641723e+00 1.039702292264294697e-02
0.000000000000000000e+00 -1.679338932148443750e+14 1.265199084923576223e+01 4.070316419279372155e+01 1.476539972529957501e+00 2.589689798157558442e+01 1.094709305246071608e-02
0.000000000000000000e+00 -1.607643742212697500e+14 1.296633461657151365e+01 3.181931981887525396e+01 1.809010623293483833e-01 8.684565761285110597e+00 1.128567933476060277e-02
0.000000000000000000e+00 -1.606023651608330625e+14 1.413228865412545154e+01 3.010621297935691842e+01 1.477257301368346987e+00 1.117976341192378342e+01 1.130164262551273079e-02
0.000000000000000000e+00 -1.593525052064224375e+14 1.680582698782711049e+01 3.180022053861935660e+01 1.002929066898071042e+00 2.295668549365402811e+01 1.135830779106213224e-02
0.000000000000000000e+00 -1.573137087038220312e+14 6.577560207483017507e+00 2.687557237541572874e+01 5.878028697977217831e-01 3.756348286273962600e+01 1.148130596926306285e-02
0.000000000000000000e+00 -1.478443524617443750e+14 2.847280148498510854e+01 3.214398530872708193e+01 6.494933218302387790e-01 1.563570920535606490e+01 1.196621940489322675e-02
0.000000000000000000e+00 -1.283552730390270625e+14 1.960932093141690657e+01 1.507110388697903147e+01 6.099042777815906202e-01 8.030984960664417471e+00 1.325990043147439248e-02
0.000000000000000000e+00 -1.225240485218573438e+14 2.205539141309951390e+01 1.426108128682214193e+01 1.457318261336964627e+00 8.511079350883060002e+00 1.371011804662798129e-02
0.000000000000000000e+00 -1.161050917586952969e+14 2.427032496421685082e+01 4.714132965707399592e+01 8.498061583670848407e-01 3.844527160165699087e+01 1.425389585167326743e-02
0.000000000000000000e+00 -1.150420039771471719e+14 3.235570676631062526e+01 6.099287084234528145e+00 1.353561665665388603e+00 8.397869933789598562e+00 1.430788349053723103e-02
0.000000000000000000e+00 -1.125855392678493281e+14 8.795611884274219250e+00 4.400430737628954603e+01 1.401270493528103289e+00 4.408966229699738903e+01 1.461204422718732042e-02
0.000000000000000000e+00 -9.826242314217943750e+13 5.451811722539298799e+00 3.609170147045455934e+01 3.439047324252016424e-01 2.482944174277395177e+01 1.607412205733047342e-02
