logz logzerr logvol nlive logl logwt insert_order
-1.382958933545917750e+15 1.663610938052610938e+14 -6.000000000000000472e-02 3.000000000000000000e+02 -1.314923667947825500e+15 -1.314923667947831250e+15 3.866666666666666585e-01
-1.314923667947831250e+15 1.777469550044288750e+14 -6.333333333333333870e-02 3.000000000000000000e+02 -1.303705092403887000e+15 -1.303705092403892750e+15 6.400000000000000133e-01
-1.303705092403892750e+15 1.472145144058369062e+14 -6.666666666666666574e-02 3.000000000000000000e+02 -1.266617690424212000e+15 -1.266617690424217750e+15 1.100000000000000089e+00
-1.266617690424217750e+15 1.025041640130536523e+13 -6.999999999999999278e-02 3.000000000000000000e+02 -1.252776529924637750e+15 -1.252776529924643500e+15 5.200000000000000178e-01
-1.252776529924643500e+15 6.524785632493172852e+12 -7.333333333333331983e-02 3.000000000000000000e+02 -1.228962355286618500e+15 -1.228962355286624250e+15 4.066666666666666763e-01
-1.228962355286624250e+15 1.273461552043977344e+13 -7.666666666666664687e-02 3.000000000000000000e+02 -1.124914170115940750e+15 -1.124914170115946500e+15 5.799999999999999600e-01
-1.124914170115946500e+15 3.877646916285414844e+13 -7.999999999999997391e-02 3.000000000000000000e+02 -8.976388319233032500e+14 -8.976388319233090000e+14 8.800000000000000044e-01
-8.976388319233090000e+14 1.354931688704203750e+14 -8.333333333333330095e-02 3.000000000000000000e+02 -7.716758193519535000e+14 -7.716758193519592500e+14 7.466666666666667007e-01
-7.716758193519592500e+14 1.673111301791448750e+14 -8.666666666666662799e-02 3.000000000000000000e+02 -7.671601707006312500e+14 -7.671601707006370000e+14 4.266666666666666941e-01
-7.671601707006370000e+14 1.532057411640685312e+14 -8.999999999999995504e-02 3.000000000000000000e+02 -6.581110730172440000e+14 -6.581110730172497500e+14 1.013333333333333419e+00
-6.581110730172497500e+14 3.013957839521724609e+13 -9.333333333333328208e-02 3.000000000000000000e+02 -6.057248023896855000e+14 -6.057248023896912500e+14 5.333333333333333676e-02
-6.057248023896912500e+14 2.469512480121319141e+13 -9.666666666666660912e-02 3.000000000000000000e+02 -5.862382123859097500e+14 -5.862382123859155000e+14 1.326666666666666661e+00
-5.862382123859155000e+14 9.607018430240662109e+12 -9.999999999999993616e-02 3.000000000000000000e+02 -5.849292987473521250e+14 -5.849292987473578750e+14 1.506666666666666599e+00
-5.849292987473578750e+14 7.623375554359487305e+12 -1.033333333333332632e-01 3.000000000000000000e+02 -5.529587009202812500e+14 -5.529587009202870625e+14 3.533333333333333326e-01
-5.529587009202870625e+14 1.651968536715210352e+13 -1.066666666666665902e-01 3.000000000000000000e+02 -5.396015413228290625e+14 -5.396015413228348750e+14 1.393333333333333313e+00
-5.396015413228348750e+14 6.296625419166164062e+12 -1.099999999999999173e-01 3.000000000000000000e+02 -5.322834571585481250e+14 -5.322834571585539375e+14 1.466666666666666563e+00
-5.322834571585539375e+14 5.929852364464871094e+12 -1.133333333333332443e-01 3.000000000000000000e+02 -4.854883857473977500e+14 -4.854883857474035625e+14 3.866666666666666585e-01
-4.854883857474035625e+14 2.244179539525474219e+13 -1.166666666666665714e-01 3.000000000000000000e+02 -4.700732105567727500e+14 -4.700732105567785625e+14 1.486666666666666581e+00
-4.700732105567785625e+14 1.904049584502889453e+13 -1.199999999999998984e-01 3.000000000000000000e+02 -4.536195667504143750e+14 -4.536195667504201875e+14 1.766666666666666607e+00
-4.536195667504201875e+14 1.042169509319993555e+13 -1.233333333333332255e-01 3.000000000000000000e+02 -4.287072174103453750e+14 -4.287072174103511875e+14 1.633333333333333304e+00
-4.287072174103511875e+14 1.453883962274390820e+13 -1.266666666666665664e-01 3.000000000000000000e+02 -3.998999157397113750e+14 -3.998999157397171875e+14 6.999999999999999556e-01
-3.998999157397171875e+14 2.243316214077802734e+13 -1.299999999999998934e-01 3.000000000000000000e+02 -3.928747103197772500e+14 -3.928747103197830625e+14 2.666666666666666630e-01
-3.928747103197830625e+14 2.320624476948999609e+13 -1.333333333333332205e-01 3.000000000000000000e+02 -3.865709608343843750e+14 -3.865709608343901875e+14 4.133333333333333304e-01
-3.865709608343901875e+14 1.825506614849814062e+13 -1.366666666666665475e-01 3.000000000000000000e+02 -3.861320215456848125e+14 -3.861320215456906250e+14 4.799999999999999822e-01
-3.861320215456906250e+14 2.163999876568475647e+11 -1.399999999999998745e-01 3.000000000000000000e+02 -3.686422194468338750e+14 -3.686422194468397500e+14 2.000000000000000042e-02
-3.686422194468397500e+14 8.716910480040517578e+12 -1.433333333333332016e-01 3.000000000000000000e+02 -3.450882933560801875e+14 -3.450882933560860625e+14 7.333333333333333370e-02
-3.450882933560860625e+14 1.940023886251704297e+13 -1.466666666666665286e-01 3.000000000000000000e+02 -2.720549296330769062e+14 -2.720549296330827500e+14 1.159999999999999920e+00
-2.720549296330827500e+14 3.886199013475382812e+13 -1.499999999999998557e-01 3.000000000000000000e+02 -2.413201195428687500e+14 -2.413201195428745938e+14 3.066666666666666430e-01
-2.413201195428745938e+14 1.145418743954143359e+13 -1.533333333333331827e-01 3.000000000000000000e+02 -2.327988929871442500e+14 -2.327988929871500938e+14 1.666666666666666574e-01
-2.327988929871500938e+14 4.016944721052320312e+12 -1.566666666666665098e-01 3.000000000000000000e+02 -2.129210513099461250e+14 -2.129210513099520000e+14 4.066666666666666763e-01
-2.129210513099520000e+14 1.088320465128526367e+13 -1.599999999999998368e-01 3.000000000000000000e+02 -2.040768290508056562e+14 -2.040768290508115312e+14 1.419999999999999929e+00
-2.040768290508115312e+14 1.201974111721028125e+13 -1.633333333333331638e-01 3.000000000000000000e+02 -1.874739232418845938e+14 -1.874739232418904688e+14 1.653333333333333321e+00
-1.874739232418904688e+14 1.021035477030088477e+13 -1.666666666666664909e-01 3.000000000000000000e+02 -1.794063503227018125e+14 -1.794063503227076875e+14 1.813333333333333242e+00
-1.794063503227076875e+14 1.224840124169834375e+13 -1.699999999999998179e-01 3.000000000000000000e+02 -1.679338932148443750e+14 -1.679338932148502500e+14 1.646666666666666723e+00
-1.679338932148502500e+14 1.308926277346047461e+13 -1.733333333333331450e-01 3.000000000000000000e+02 -1.607643742212697500e+14 -1.607643742212756250e+14 1.173333333333333339e+00
-1.607643742212756250e+14 1.394014881031582031e+13 -1.766666666666664720e-01 3.000000000000000000e+02 -1.606023651608330625e+14 -1.606023651608389375e+14 5.866666666666666696e-01
-1.606023651608389375e+14 2.015299748706266602e+12 -1.799999999999997990e-01 3.000000000000000000e+02 -1.593525052064224375e+14 -1.593525052064283125e+14 1.000000000000000056e-01
-1.593525052064283125e+14 2.183629740554238281e+12 -1.833333333333331261e-01 3.000000000000000000e+02 -1.573137087038220312e+14 -1.573137087038279062e+14 8.666666666666666963e-01
-1.573137087038279062e+14 3.024520372797632324e+12 -1.866666666666664531e-01 3.000000000000000000e+02 -1.478443524617443750e+14 -1.478443524617502812e+14 1.333333333333333315e-01
-1.478443524617502812e+14 4.463897341495927734e+12 -1.899999999999997802e-01 3.000000000000000000e+02 -1.283552730390270625e+14 -1.283552730390329531e+14 1.439999999999999947e+00
-1.283552730390329531e+14 1.057168495912992383e+13 -1.933333333333331072e-01 3.000000000000000000e+02 -1.225240485218573438e+14 -1.225240485218632500e+14 3.599999999999999867e-01
-1.225240485218632500e+14 1.246707160233339844e+13 -1.966666666666664343e-01 3.000000000000000000e+02 -1.161050917586952969e+14 -1.161050917587012031e+14 2.933333333333333348e-01
-1.161050917587012031e+14 1.334504509327388672e+13 -1.999999999999997613e-01 3.000000000000000000e+02 -1.150420039771471719e+14 -1.150420039771530781e+14 1.520000000000000018e+00
