a_v a_s a_c a_sym sigma_sys
3.345742083656710975e+01 2.879631877007605922e+00 9.792422066638040157e-02 2.854979305996628369e+01 7.923501489504830715e+03
3.932129947949046311e+01 1.565152177254849897e-01 9.696271877467337319e-01 2.215414339739944793e+01 8.026812229638459030e+03
3.890070270465233193e+01 2.719645511439862062e+01 4.388575813340299669e-01 3.067198569962230437e+01 8.030994815488659697e+03
3.479593921940889345e+01 1.218882779963263552e+01 2.602858511511882411e-01 2.397090917710153235e+01 8.045481664363832351e+03
3.802533100309005221e+01 9.262681437696524966e+00 1.434909573747850775e+00 4.527963963726860896e+01 8.155468933275895324e+03
3.146001677393168450e+01 3.430690754053392766e+01 1.673162714195969292e-02 5.358970117746453354e+01 8.063342763273028140e+03
3.651229665614276598e+01 4.004901264529251215e+00 1.019425338561980254e+00 6.043583147145316303e+00 7.911302205217674782e+03
3.838040604533718891e+01 2.332435057393260180e+01 1.955508129910054627e-01 1.593614761239865452e+01 7.982126974012696337e+03
3.453352641912834287e+01 1.873655019048608494e+01 7.243005432981656222e-01 1.413517112609037341e+00 8.021372841877262545e+03
3.822512516770830615e+01 4.081598444592465569e+01 6.153890141603884922e-01 1.466347806707836376e+01 7.960231825614881018e+03
3.625436747340400956e+01 7.761803445037014804e+00 7.176739953986216447e-02 5.711353979443904905e+01 7.977348662646563753e+03
3.999828237664909381e+01 5.998141633268303075e+00 2.934715362987566634e-01 1.454548598515174440e+01 8.151041974043564551e+03
3.530743833676302046e+01 4.384651774305623029e+00 9.256167914730524249e-01 2.160834711431239441e+01 7.998811010074912701e+03
3.610992475443474348e+01 8.851386231327680321e+00 2.638211869866418646e-01 5.966620356582009954e+00 7.962045622853074747e+03
3.789199796546282073e+01 1.103858249039637229e+01 8.454277111487198404e-01 3.627118110762317382e+00 7.984805125274420789e+03
3.394367082203783781e+01 2.606859747367508007e+01 2.145244880465846105e-01 4.642590359141036060e+01 7.987343144355034383e+03
3.639320912065527125e+01 6.875752738796935049e+00 1.464118055071838564e-01 7.691474743115998436e+00 7.946709983444472527e+03
3.849548288829220155e+01 3.843773476610434159e+01 8.939350892425388384e-01 3.243640507931790040e+01 7.910118664572683883e+03
3.579991156442035560e+01 4.493494004967082955e-01 1.921859932275771787e-01 5.355241128747712054e+01 8.171674727588803762e+03
3.476916569065710405e+01 1.081069017718747105e+01 6.940114873956040320e-01 1.997122117476633463e+01 8.090983742884098319e+03
3.226181909141553916e+01 6.367708029650480661e+00 1.114669343108387167e+00 2.342823184058136832e+00 7.920139452626080129e+03
3.869661949647525745e+01 3.891141256897627443e+01 1.451305143460379865e+00 5.007996057145068391e+01 8.097349829755326027e+03
3.956763209792738678e+01 3.714997967197072981e+00 3.524332755013643848e-01 4.936316844821271843e+01 7.941785083427188511e+03
3.669756263136993368e+01 7.094010319158774003e+00 1.980663686887096375e-02 2.717729213175021741e+01 7.999072558538905469e+03
3.553959504033609562e+01 2.586395751546826105e+01 7.172715342958141393e-02 2.092451496727210625e+01 8.081553188810996289e+03
3.803774927007995643e+01 1.518248565844906750e+00 1.208820439021295046e-02 1.036041222522701233e+01 8.044030137152498355e+03
3.331692436904733512e+01 6.448255083400866283e+00 1.006007244360582198e-01 4.899760947340499939e+01 8.093960741773446898e+03
3.999348602971051747e+01 5.289862589070579268e+00 4.284379275440072243e-01 2.582658854612026289e+01 8.140921611924132776e+03
3.331284872686703125e+01 3.241135560332594867e+00 6.128385375255318568e-01 1.065165072307935334e+00 7.785360548819583528e+03
3.803056795661107969e+01 7.215218409142776679e+00 1.108335281284464235e+00 3.112513332748415351e+00 8.107024552263613259e+03
3.915644863254759400e+01 4.174953972945561986e+01 1.466823554414188102e+00 2.305866751674572868e+01 8.150017239325423361e+03
3.969637409442887588e+01 3.783947975881468029e+00 5.879187265027921994e-01 1.106257189988578560e+01 8.111840405422413824e+03
3.381489345251023337e+01 7.428523773679598374e-01 2.604060790214585142e-02 4.813591447131365442e+01 8.101707677985232294e+03
3.488858959887637923e+01 4.735682351183938543e+00 4.913859491558196790e-01 1.501672113576043088e+01 8.092673691335746298e+03
3.606223962005733341e+01 4.100682523153502501e+01 2.091624645507937919e-01 3.192715000148438165e+01 8.072920327360063311e+03
3.788318574288667406e+01 3.003155209359760391e+01 1.018163349481632229e-01 5.698763334183426110e+01 8.139104547804833601e+03
3.135925378986855705e+01 5.592816610132899768e+00 3.491181813680862001e-01 3.867958913771382612e+01 7.996072135009719204e+03
3.571322001606914398e+01 1.011789220399460376e+01 2.257897628650064603e-01 1.355406071659050227e+01 8.058781846305374529e+03
2.542760453823549938e+01 6.411722144263887202e+00 3.579777161321612278e-02 5.049908232959930388e+01 8.182056789215624121e+03
3.935876162677126189e+01 1.529284886442569835e+01 1.164294523468208109e-01 2.643341796596607729e+00 8.287825086159111379e+03
