weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -3.132517602200023000e+15 8.324990235141646044e-01 7.254872345550823498e-01 6.328437766175589729e-01 4.040191099429318866e-01 4.186772209205047446e-03
0.000000000000000000e+00 -3.120244595787901000e+15 7.256711799312665079e-01 4.110349756796685128e-01 1.145937336834175202e-01 7.208964762016686345e-01 4.349796307445141785e-03
0.000000000000000000e+00 -3.091363987818688000e+15 5.280468118208316852e-01 2.785214366615269554e-01 3.217429294505353976e-01 5.830008205300242219e-01 4.882566663929055473e-03
0.000000000000000000e+00 -3.069017127971100000e+15 4.988599387467043123e-01 9.441123628616981955e-01 5.814356945456875536e-01 4.153114017641179601e-01 5.371367293851458946e-03
0.000000000000000000e+00 -2.968229289877408500e+15 2.619830800635303270e-01 5.459429568245193209e-01 1.350738246686206123e-01 7.234907122137094193e-01 7.039496725254057452e-03
0.000000000000000000e+00 -2.960481276564563500e+15 5.899395403059246590e-01 9.831026171646046752e-01 7.006455751771411000e-01 1.631144904388278638e-01 7.125917992284680480e-03
0.000000000000000000e+00 -2.829615805688451000e+15 8.233552274141691107e-01 8.692651620678044644e-01 9.982684451877392728e-01 2.748697012712958410e-01 9.271221546752861364e-03
0.000000000000000000e+00 -2.800616833207390000e+15 8.090069646760801314e-01 8.035419408973170086e-01 8.999124947928285323e-01 4.699002296512387877e-01 9.774991029732005288e-03
0.000000000000000000e+00 -2.756431287248464000e+15 1.953195422436442286e-01 7.570504929815753403e-01 2.489593748568107445e-01 6.682197244022916038e-01 1.077894747785268503e-02
0.000000000000000000e+00 -2.604752481228451500e+15 8.905777387980985393e-01 4.052329528217416543e-01 5.801411577605096737e-01 3.475957249753526268e-01 1.326020306771347190e-02
0.000000000000000000e+00 -2.470462107171035500e+15 4.039858655484852568e-01 1.244304807965983528e-01 6.081884182191563681e-01 3.245258412799668646e-01 1.605940318614673679e-02
0.000000000000000000e+00 -2.376254612935553500e+15 2.608062100134156402e-01 4.493692046177997224e-01 3.988214911875370694e-01 3.331877938771842240e-01 1.809698032116957567e-02
0.000000000000000000e+00 -2.270343417277961000e+15 3.783700944044154912e-01 8.125945967442094187e-04 2.080928263403969414e-01 7.529861302734038864e-01 2.024872161055080166e-02
0.000000000000000000e+00 -1.790101928335889500e+15 1.740556699996586021e-01 4.789545412486878595e-01 5.481600746304094995e-01 5.326644651257754770e-01 3.234259433758845947e-02
0.000000000000000000e+00 -1.781517663833579750e+15 5.990535781936094928e-01 1.393116911740767128e-01 5.944266615134268239e-01 3.109203724740544628e-01 3.235056610806874566e-02
0.000000000000000000e+00 -1.770930598663148500e+15 2.461482681807313222e-01 2.891407146688512730e-01 4.610966620985201825e-01 7.382448272341222140e-01 3.282154667443815121e-02
0.000000000000000000e+00 -1.701887883918600000e+15 1.549885213613344526e-01 1.666898011491020348e-01 6.376508738561411649e-01 6.707118134145981792e-01 3.485215856814383173e-02
0.000000000000000000e+00 -1.382958933545912000e+15 7.412131735072062799e-01 7.525731376302136066e-02 7.522250463456969793e-01 8.906462798439683803e-01 4.505585706897774489e-02
0.000000000000000000e+00 -1.314923667947825500e+15 2.201727242408224594e-02 5.004803423791662764e-01 1.559565028152732902e-01 2.231366129073318882e-01 4.792434950731361276e-02
0.000000000000000000e+00 -1.303705092403887000e+15 1.263024718252381273e-02 9.735824086120865584e-01 5.417702373705290952e-02 5.423029825984015950e-02 4.842320454243032035e-02
0.000000000000000000e+00 -1.266617690424212000e+15 3.368095532535079206e-01 4.213115646975694739e-01 3.016238435814184715e-01 5.241106567523434734e-01 4.968078952081156352e-02
0.000000000000000000e+00 -1.252776529924637750e+15 4.629747815756372065e-01 1.462382954755276909e-01 1.543505024600413389e-01 2.171938031304418981e-01 5.012531014681009811e-02
0.000000000000000000e+00 -1.228962355286618500e+15 1.176071405002098169e-01 1.012061654979691250e-01 9.435918139901794399e-01 3.154552479775540874e-01 5.128826265327723899e-02
0.000000000000000000e+00 -1.124914170115940750e+15 9.221420489891848371e-01 8.347774219329150425e-01 1.180434544918553819e-01 8.383433998501879092e-01 5.547379344612302088e-02
0.000000000000000000e+00 -8.976388319233032500e+14 2.712094170512913127e-01 6.205050969485107482e-01 1.944668195599112970e-01 8.324796136165267813e-01 6.711149611568145712e-02
0.000000000000000000e+00 -7.716758193519535000e+14 6.717389363275585445e-01 6.121837843299399173e-01 9.579164435999046878e-01 4.850222827074769372e-01 7.459953693865506441e-02
0.000000000000000000e+00 -7.671601707006312500e+14 3.886886421912891798e-01 9.026258914166191971e-01 5.107279689379286003e-01 4.907829629002576910e-01 7.502761317417061537e-02
0.000000000000000000e+00 -6.581110730172440000e+14 6.726168667343235263e-01 2.732472434287532836e-01 6.092079183819120169e-01 6.818077032035098073e-01 8.252217568661701641e-02
0.000000000000000000e+00 -6.057248023896855000e+14 9.389845687934360585e-01 7.066477374162563052e-01 8.771004686395522665e-01 6.553961966321053545e-01 8.664043490439465867e-02
0.000000000000000000e+00 -5.862382123859097500e+14 9.271470615730001974e-01 9.518306138283468831e-01 7.388352552676524798e-01 3.888991977945985834e-01 8.829963891863190639e-02
0.000000000000000000e+00 -5.849292987473521250e+14 2.919605002687902795e-01 8.031918497557211101e-02 5.941460707743699832e-01 2.218517369276918894e-01 8.854313308828065665e-02
0.000000000000000000e+00 -5.529587009202812500e+14 5.591920046869842675e-01 4.472570398221786814e-01 5.917559540879426816e-01 4.500235698929405670e-01 9.128802625210374888e-02
0.000000000000000000e+00 -5.396015413228290625e+14 3.295515406674938141e-01 7.468590466890911994e-01 1.142640316453263916e-01 6.827414509512336194e-01 9.261535609870530372e-02
0.000000000000000000e+00 -5.322834571585481250e+14 1.686487112779879727e-01 6.373997672300074635e-01 9.944715000402449823e-01 9.413438645567173690e-01 9.341228755435204700e-02
