16:57:57 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run5, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run6, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [INFO] Sampling 300 live points from prior ...
17:01:38 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:01:38 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
17:01:38 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(300.0)), (np.float64(inf), np.float64(300.0))]
17:01:40 [ultranest] [DEBUG] iteration=670, ncalls=1380, regioncalls=2688, ndraw=128, logz=-45444.97, remainder_fraction=100.0000%, Lmin=-45411.54, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=690, ncalls=1402, regioncalls=2944, ndraw=128, logz=-41945.99, remainder_fraction=100.0000%, Lmin=-41878.92, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=720, ncalls=1451, regioncalls=3328, ndraw=128, logz=-34537.73, remainder_fraction=100.0000%, Lmin=-34528.18, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=750, ncalls=1503, regioncalls=3712, ndraw=128, logz=-31904.16, remainder_fraction=100.0000%, Lmin=-31845.77, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=780, ncalls=1545, regioncalls=4096, ndraw=128, logz=-30897.13, remainder_fraction=100.0000%, Lmin=-30884.37, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=810, ncalls=1592, regioncalls=4480, ndraw=128, logz=-29661.04, remainder_fraction=100.0000%, Lmin=-29650.51, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=840, ncalls=1644, regioncalls=5120, ndraw=128, logz=-28784.58, remainder_fraction=100.0000%, Lmin=-28736.01, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=870, ncalls=1709, regioncalls=5760, ndraw=128, logz=-28231.88, remainder_fraction=100.0000%, Lmin=-28214.32, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=871, ncalls=1709, regioncalls=5760, ndraw=128, logz=-28222.93, remainder_fraction=100.0000%, Lmin=-28118.75, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=900, ncalls=1746, regioncalls=6272, ndraw=128, logz=-27712.31, remainder_fraction=100.0000%, Lmin=-27681.82, Lmax=-26551.16
