16:25:42 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:32:00 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run2, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:32:00 [ultranest] [INFO] Sampling 300 live points from prior ...
16:32:01 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:32:01 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
16:32:01 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(300.0)), (np.float64(inf), np.float64(300.0))]
16:32:02 [ultranest] [DEBUG] iteration=630, ncalls=1198, regioncalls=35920, ndraw=40, logz=-9610594381.96, remainder_fraction=100.0000%, Lmin=-9606558608.68, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=660, ncalls=1241, regioncalls=37640, ndraw=40, logz=-8016640851.19, remainder_fraction=100.0000%, Lmin=-8001361958.53, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=670, ncalls=1251, regioncalls=38040, ndraw=40, logz=-7559021950.40, remainder_fraction=100.0000%, Lmin=-7536436785.54, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=690, ncalls=1276, regioncalls=39040, ndraw=40, logz=-6744925527.91, remainder_fraction=100.0000%, Lmin=-6737391726.69, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=720, ncalls=1327, regioncalls=41120, ndraw=40, logz=-5706661195.47, remainder_fraction=100.0000%, Lmin=-5705879885.25, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=750, ncalls=1376, regioncalls=43080, ndraw=40, logz=-4940420251.10, remainder_fraction=100.0000%, Lmin=-4900371694.55, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=780, ncalls=1427, regioncalls=45120, ndraw=40, logz=-4322706195.96, remainder_fraction=100.0000%, Lmin=-4316392117.18, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=804, ncalls=1458, regioncalls=46360, ndraw=40, logz=-3980303906.02, remainder_fraction=100.0000%, Lmin=-3979473571.70, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=810, ncalls=1466, regioncalls=46680, ndraw=40, logz=-3913169206.02, remainder_fraction=100.0000%, Lmin=-3898477108.35, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=840, ncalls=1501, regioncalls=48080, ndraw=40, logz=-3397109600.49, remainder_fraction=100.0000%, Lmin=-3391394145.84, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=870, ncalls=1555, regioncalls=50440, ndraw=40, logz=-3083358568.07, remainder_fraction=100.0000%, Lmin=-3080565071.24, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=871, ncalls=1556, regioncalls=50480, ndraw=40, logz=-3080565079.85, remainder_fraction=100.0000%, Lmin=-3080106631.90, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=900, ncalls=1597, regioncalls=52280, ndraw=40, logz=-2805534494.80, remainder_fraction=100.0000%, Lmin=-2805235539.91, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=930, ncalls=1648, regioncalls=54320, ndraw=40, logz=-2549816575.03, remainder_fraction=100.0000%, Lmin=-2536096535.27, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=938, ncalls=1661, regioncalls=54840, ndraw=40, logz=-2489410903.02, remainder_fraction=100.0000%, Lmin=-2485667260.16, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=960, ncalls=1688, regioncalls=55960, ndraw=40, logz=-2358222327.48, remainder_fraction=100.0000%, Lmin=-2356320515.96, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=990, ncalls=1726, regioncalls=57480, ndraw=40, logz=-2187586765.75, remainder_fraction=100.0000%, Lmin=-2182069832.93, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=1005, ncalls=1744, regioncalls=58200, ndraw=40, logz=-2142814862.72, remainder_fraction=100.0000%, Lmin=-2140939308.44, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=1020, ncalls=1761, regioncalls=58920, ndraw=40, logz=-2055976833.68, remainder_fraction=100.0000%, Lmin=-2055905024.20, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=1050, ncalls=1804, regioncalls=60640, ndraw=40, logz=-1938097603.91, remainder_fraction=100.0000%, Lmin=-1935245920.27, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=1072, ncalls=1846, regioncalls=62320, ndraw=40, logz=-1882695438.17, remainder_fraction=100.0000%, Lmin=-1881208515.05, Lmax=-1089110346.12
16:32:03 [ultranest] [DEBUG] iteration=1080, ncalls=1857, regioncalls=62960, ndraw=40, logz=-1861787891.25, remainder_fraction=100.0000%, Lmin=-1861462763.23, Lmax=-1089110346.12
16:32:03 [ultranest] [DEBUG] iteration=1110, ncalls=1906, regioncalls=64920, ndraw=40, logz=-1776332506.34, remainder_fraction=100.0000%, Lmin=-1774824178.26, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1140, ncalls=1950, regioncalls=66680, ndraw=40, logz=-1705897093.85, remainder_fraction=100.0000%, Lmin=-1705501332.18, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1170, ncalls=1989, regioncalls=68240, ndraw=40, logz=-1644113060.87, remainder_fraction=100.0000%, Lmin=-1642164436.95, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1200, ncalls=2029, regioncalls=69880, ndraw=40, logz=-1572381959.10, remainder_fraction=100.0000%, Lmin=-1571533918.53, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1206, ncalls=2038, regioncalls=70280, ndraw=40, logz=-1564060623.53, remainder_fraction=100.0000%, Lmin=-1564040408.03, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1230, ncalls=2076, regioncalls=71880, ndraw=40, logz=-1526765390.16, remainder_fraction=100.0000%, Lmin=-1523066574.49, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1260, ncalls=2124, regioncalls=73800, ndraw=40, logz=-1474570808.71, remainder_fraction=100.0000%, Lmin=-1472116706.63, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1273, ncalls=2140, regioncalls=74440, ndraw=40, logz=-1450021051.12, remainder_fraction=100.0000%, Lmin=-1449296000.06, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1290, ncalls=2162, regioncalls=75360, ndraw=40, logz=-1423682522.07, remainder_fraction=100.0000%, Lmin=-1417493844.90, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1320, ncalls=2196, regioncalls=76720, ndraw=40, logz=-1376573524.81, remainder_fraction=100.0000%, Lmin=-1376164709.16, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1340, ncalls=2228, regioncalls=78000, ndraw=40, logz=-1357164169.48, remainder_fraction=100.0000%, Lmin=-1357091160.14, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1350, ncalls=2240, regioncalls=78520, ndraw=40, logz=-1350097936.60, remainder_fraction=100.0000%, Lmin=-1349398166.65, Lmax=-1085856952.54
16:32:03 [ultranest] [DEBUG] iteration=1380, ncalls=2287, regioncalls=80400, ndraw=40, logz=-1317477832.09, remainder_fraction=100.0000%, Lmin=-1317419428.27, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1407, ncalls=2320, regioncalls=81720, ndraw=40, logz=-1299379030.74, remainder_fraction=100.0000%, Lmin=-1299036294.61, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1410, ncalls=2324, regioncalls=81960, ndraw=40, logz=-1297983878.13, remainder_fraction=100.0000%, Lmin=-1297957843.68, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1440, ncalls=2365, regioncalls=83640, ndraw=40, logz=-1266928038.73, remainder_fraction=100.0000%, Lmin=-1265727595.12, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1470, ncalls=2410, regioncalls=85440, ndraw=40, logz=-1250600178.04, remainder_fraction=100.0000%, Lmin=-1250389906.81, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1474, ncalls=2420, regioncalls=85840, ndraw=40, logz=-1249172756.94, remainder_fraction=100.0000%, Lmin=-1248126820.38, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1500, ncalls=2448, regioncalls=87120, ndraw=40, logz=-1234704420.60, remainder_fraction=100.0000%, Lmin=-1234671120.96, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1530, ncalls=2494, regioncalls=89040, ndraw=40, logz=-1220069882.40, remainder_fraction=100.0000%, Lmin=-1219878740.70, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1560, ncalls=2546, regioncalls=91160, ndraw=40, logz=-1205576776.53, remainder_fraction=100.0000%, Lmin=-1205452993.59, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1590, ncalls=2588, regioncalls=92920, ndraw=40, logz=-1197319162.27, remainder_fraction=100.0000%, Lmin=-1196243633.12, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1608, ncalls=2620, regioncalls=94280, ndraw=40, logz=-1188782593.55, remainder_fraction=100.0000%, Lmin=-1188583028.52, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1620, ncalls=2636, regioncalls=94920, ndraw=40, logz=-1185366726.14, remainder_fraction=100.0000%, Lmin=-1185169615.04, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1650, ncalls=2679, regioncalls=96640, ndraw=40, logz=-1173748210.43, remainder_fraction=100.0000%, Lmin=-1173566734.41, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1680, ncalls=2726, regioncalls=98560, ndraw=40, logz=-1165308168.75, remainder_fraction=100.0000%, Lmin=-1165295043.31, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1710, ncalls=2780, regioncalls=100760, ndraw=40, logz=-1156081605.23, remainder_fraction=100.0000%, Lmin=-1155442463.86, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1740, ncalls=2834, regioncalls=102960, ndraw=40, logz=-1150166989.27, remainder_fraction=100.0000%, Lmin=-1150057925.75, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1742, ncalls=2836, regioncalls=103120, ndraw=40, logz=-1150007175.30, remainder_fraction=100.0000%, Lmin=-1149837745.92, Lmax=-1085856952.54
16:32:04 [ultranest] [DEBUG] iteration=1770, ncalls=2881, regioncalls=104920, ndraw=40, logz=-1144212796.42, remainder_fraction=100.0000%, Lmin=-1144058924.17, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1800, ncalls=2929, regioncalls=106840, ndraw=40, logz=-1138300420.91, remainder_fraction=100.0000%, Lmin=-1138244579.67, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1809, ncalls=2944, regioncalls=107480, ndraw=40, logz=-1135810540.97, remainder_fraction=100.0000%, Lmin=-1135624381.06, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1830, ncalls=2969, regioncalls=108600, ndraw=40, logz=-1132004483.79, remainder_fraction=100.0000%, Lmin=-1131787927.71, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1860, ncalls=3013, regioncalls=110360, ndraw=40, logz=-1128765898.93, remainder_fraction=100.0000%, Lmin=-1128523116.51, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1876, ncalls=3032, regioncalls=111320, ndraw=40, logz=-1126048453.16, remainder_fraction=100.0000%, Lmin=-1125941483.70, Lmax=-1083300719.53
