weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -1.183540890164915938e+14 3.403991583547492183e+01 2.334241463555574825e+01 1.859636653837987152e-02 1.196846408792429095e+01 1.401403482957423209e-02
0.000000000000000000e+00 -1.165709026057600312e+14 1.347413500179372292e+01 4.114488969323431888e+01 1.265929985514125056e+00 5.756101026829282574e+01 1.424224295066449548e-02
0.000000000000000000e+00 -1.140404086552593594e+14 3.505347877959638936e+01 1.093821974092757365e+01 7.782700570445840738e-01 1.758839226287183877e+01 1.438761428622219174e-02
0.000000000000000000e+00 -1.083363775084839688e+14 3.771280129235294254e+01 2.497608174695683658e+01 8.614830608241027532e-01 2.609799326535344832e+01 1.492280436974808416e-02
0.000000000000000000e+00 -1.055749146465292969e+14 3.780556840584208089e+01 4.032263394341916296e+01 8.867069092198440750e-01 4.718275709271814833e+01 1.520783800360048232e-02
0.000000000000000000e+00 -1.015066923530547812e+14 1.924571870584054878e+01 2.348481109966066072e+00 1.444385470709087738e+00 1.394595837113948456e+01 1.566595769774906111e-02
0.000000000000000000e+00 -9.877865043986131250e+13 2.851407622424843424e+01 2.951591671372692360e+01 7.631369074798777241e-01 6.487951110775802555e+00 1.595146999405971239e-02
0.000000000000000000e+00 -9.861573952952131250e+13 3.405141321214259165e+01 1.167199129055356899e+01 1.124329923761814842e-01 4.808811384657406762e+01 1.593979854291198428e-02
0.000000000000000000e+00 -9.802217841010332812e+13 1.191548890720171983e+01 2.608249678115119252e+01 2.582401659429107155e-01 8.283699071698236160e-01 1.607514722771652069e-02
0.000000000000000000e+00 -9.405741263648389062e+13 2.320472471745944887e+01 4.186811437244707435e+01 4.255007814349974771e-01 2.626053640822036073e+01 1.652867759929744704e-02
0.000000000000000000e+00 -9.291103402782206250e+13 1.600262339642867104e+01 6.835668438375219758e+00 8.846030613488019556e-01 1.052933717912688572e+01 1.667380210323718068e-02
0.000000000000000000e+00 -9.271082014203950000e+13 1.535334980650445935e+01 1.434222566294176460e+01 4.240062225738607804e-01 4.925172522910927775e+00 1.669962312536936097e-02
0.000000000000000000e+00 -9.008431422529668750e+13 3.270291304348187111e+01 2.337966038276046987e+01 1.020953241401487244e+00 5.608525856029154255e+01 1.700472861052233081e-02
0.000000000000000000e+00 -8.958563159924962500e+13 1.694420165103687026e+01 2.035580841373162286e+01 1.293003568577874018e+00 4.347349240085041089e+01 1.711687230171360027e-02
0.000000000000000000e+00 -8.036086230978523438e+13 3.622019316711424608e+01 1.007348835890654648e+01 4.647626247876902039e-01 3.785765387000169824e+01 1.838033027999471519e-02
0.000000000000000000e+00 -7.794510849040373438e+13 3.658309703990206430e+01 4.358893069838086376e+01 2.276832278855119851e-01 2.003696596823760956e+01 1.878977488368412455e-02
0.000000000000000000e+00 -7.368651336442543750e+13 1.184399253310313149e+01 4.278488036950721352e+01 1.413484067443285142e+00 5.660751572590780967e+01 1.963211690715077964e-02
0.000000000000000000e+00 -7.335084373022690625e+13 3.250396124088402416e+01 4.685361450173397202e+01 1.466583971674494613e+00 1.435560941999024287e+01 1.962555311586508533e-02
0.000000000000000000e+00 -7.299209034034343750e+13 2.815490738091078526e+01 2.031126156725218834e+01 7.303958425353593853e-01 2.705689633092163504e+01 1.967805385251634315e-02
0.000000000000000000e+00 -7.023547884271725781e+13 3.639254373712277868e+01 1.442516009452218739e+01 3.742304611434357220e-01 2.209563427136735925e+00 2.016565395263765492e-02
0.000000000000000000e+00 -6.708108084707455469e+13 5.739839054803062446e+00 4.292947183106549147e+01 1.015156015524548705e+00 2.595399172370711582e+01 2.095058975128842940e-02
