a_v a_s a_c a_sym sigma_sys
3.516683850677285506e+01 8.008492320068691939e+00 9.062007877567215264e-01 3.334572427765600811e+00 8.231336216153700661e+03
3.462690575238772794e+01 3.685795533952630620e+01 4.213624662316919900e-01 1.613829960494244986e+01 8.126206891681881643e+03
3.668376839003550316e+01 8.813263507780749961e+00 6.930395824645783909e-02 3.487021048642624521e+00 8.094726196615985828e+03
3.007147625147610270e+01 5.562374705890155369e+00 7.818676081681408263e-01 8.183564447790182328e+00 7.852785577232104515e+03
3.983352093386267256e+01 4.542797924290035816e+00 1.212327439121985595e+00 4.439273768426768640e+01 8.178981568213095670e+03
3.979437889429707553e+01 1.013204573129509534e+01 1.997265038746331434e-01 2.251618630802083487e+01 8.027515190807933323e+03
3.010716439403388378e+01 1.853907556849176963e+00 8.729863949100841181e-02 4.029510316613686882e+01 8.041000454204912785e+03
3.832158613819873949e+01 5.644337451219069379e+00 3.027343848293655992e-01 6.938877691386381663e+00 8.209137236676906468e+03
3.850006856826177426e+01 2.180819143807666283e+00 2.084633902117958015e-01 5.350088262398013228e+01 8.161101412079809961e+03
3.819107852973307615e+01 5.491245483714365938e-02 1.181919874087303535e-01 3.743418967347481185e+01 8.015913875623649801e+03
3.474844240198358136e+01 3.191742653180362765e+00 5.286409322906159280e-01 1.508727435201945255e+01 7.898987362127702909e+03
3.962735296939094098e+01 6.139432744579398360e-01 1.285819113398317004e+00 3.574992673154485345e+01 8.138934751667272394e+03
3.683226374918324098e+01 7.788568976328781979e+00 5.102967618540008576e-01 4.748915557262884590e+01 8.156304130070499014e+03
3.504397994585279719e+01 3.587718858413427192e+00 3.048854337688843286e-01 2.140997667604320753e+00 8.122152238828562986e+03
3.945073946369770823e+01 5.332181151409976394e+00 1.367805435538345382e-01 2.732663702895833069e+01 7.922546105411934150e+03
3.491395783248576379e+01 1.534815903947203797e+00 4.996784965426190883e-01 3.872610560055632334e+01 7.973304393829645960e+03
2.616092688823197676e+01 5.175926763412749487e+00 7.444358924580962711e-02 5.843449375116452416e+01 8.086148307097104407e+03
3.920684203760180964e+01 3.111165803090588611e+01 1.189111678083519807e-01 4.521739820007541155e+00 7.832527507926127328e+03
3.994586101783725951e+01 2.286712803210392053e+01 9.002545338114378848e-02 3.278153308702155755e+01 7.807711785762426189e+03
3.714251986032698483e+01 4.314480019126264665e+01 3.499963615013151341e-01 3.154259913114492520e+01 8.085593240160226742e+03
3.860514955566807060e+01 3.467536437753659584e+01 4.509371270000169796e-01 3.693088873487748458e+01 8.134304566011601310e+03
3.991251614107395795e+01 1.121336809755146469e+01 7.179199396760121976e-02 4.293097132041059893e+01 8.114530364458717486e+03
3.923110299570771531e+01 2.150915468817724729e+01 1.677687595313190339e-01 9.838303434701124672e+00 8.023739152306403412e+03
3.588585334159462548e+01 6.154345412713924102e-01 8.341871617531321226e-01 4.500115415750847347e+01 8.045274084514024253e+03
3.907157390442399958e+01 9.848435938822669655e+00 5.423409666583594024e-01 3.082024195765491470e+00 8.168738574792895633e+03
3.487297567488027994e+01 3.342066297140512887e+01 7.041765017443582519e-02 6.709052534540538293e-01 8.193442888735111410e+03
3.800520106102906226e+01 4.880389937703916381e+00 5.216179725023959435e-01 2.796407048849846788e+01 8.134065850285386659e+03
