weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -5.882356069249683594e+12 5.581021466185365210e-01 4.938320510223825899e-01 7.846390813971145795e-01 1.217483895580061537e-01 2.842333815549277221e-01
0.000000000000000000e+00 -5.003356902139136719e+12 3.214579860636024300e-02 2.476055205891714017e-01 6.186452585809194549e-01 8.113678430695845378e-01 2.902255970619601610e-01
0.000000000000000000e+00 -4.819700383216314453e+12 8.477843545084530197e-01 7.688725454998143194e-01 8.518434436167224844e-01 5.722423207911776499e-01 2.913768642411519449e-01
0.000000000000000000e+00 -4.357667443544673340e+12 1.221038653653145900e-01 3.035507114752183933e-01 1.436059337684911785e-01 2.162164432831327199e-01 2.951184123963690453e-01
0.000000000000000000e+00 -4.352391351117437012e+12 3.213079204565143510e-01 6.738929371008451907e-01 1.442809014473300788e-02 9.533560432936811768e-01 2.951381579057040794e-01
0.000000000000000000e+00 -4.257362131636852051e+12 6.414459745122618184e-01 6.498880132223533446e-01 6.237841802686919790e-01 1.315494746088929912e-01 2.958485981651648444e-01
0.000000000000000000e+00 -4.084431267727795898e+12 5.740594782051198219e-01 8.265119339916735530e-01 4.397350343421310148e-01 3.885315241059118518e-01 2.973552478821644973e-01
0.000000000000000000e+00 -3.490475845214745117e+12 2.359873461246149162e-01 3.054177326964337968e-01 1.060932727036700829e-02 2.228556360058014940e-01 3.029486147147675279e-01
0.000000000000000000e+00 -3.117656603127161133e+12 2.053595832220689310e-02 3.289114245063485820e-01 4.545978333081867051e-01 5.088676557669777889e-01 3.070161302373372036e-01
0.000000000000000000e+00 -2.970037103661577148e+12 1.087072688239903995e-01 9.054791096572976095e-01 8.876109798440378063e-01 1.469685433315381928e-03 3.087568156369876471e-01
0.000000000000000000e+00 -2.909195126373916992e+12 6.009456134788260240e-02 3.279803691884232153e-01 6.887692519157209148e-01 2.246300645537693264e-01 3.094347837854333205e-01
0.000000000000000000e+00 -2.604323528053702148e+12 3.346876686682040969e-01 2.026639999579553653e-01 6.036844371702452250e-01 6.533835440027657704e-02 3.131907407170723134e-01
0.000000000000000000e+00 -2.355726002727415039e+12 5.448042878520710230e-01 5.905797864615593973e-01 9.897562724956021629e-01 6.710173893130018108e-01 3.166701460057547157e-01
0.000000000000000000e+00 -2.283982503080761719e+12 5.340194737401404712e-02 7.930803458170845310e-01 2.029254338214435682e-01 9.371563220164034202e-01 3.178616586637477148e-01
0.000000000000000000e+00 -2.137993101202389648e+12 6.123899217251825844e-01 6.873536045025168129e-01 6.134410800672851494e-02 9.307025301216523827e-01 3.199559385177702664e-01
0.000000000000000000e+00 -2.097930769759186768e+12 3.243524446426296892e-01 6.158785148858149094e-01 8.031333195954827309e-01 2.309196185663771050e-01 3.207170911953627357e-01
0.000000000000000000e+00 -2.070449538718331055e+12 8.232900768266793179e-02 5.153695639322819488e-01 9.401072784939520366e-01 9.606879861284453037e-01 3.212506892050027707e-01
