logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 3.000000000000000000e+02 -3.066897302790633000e+15 -3.066897302790638500e+15 1.400000000000000133e-01
-3.066897302790638500e+15 nan -3.333333333333333547e-03 3.000000000000000000e+02 -2.839160900701249500e+15 -2.839160900701255000e+15 7.866666666666666252e-01
-2.839160900701255000e+15 8.487234600384757812e+13 -6.666666666666667095e-03 3.000000000000000000e+02 -2.707638569324492000e+15 -2.707638569324497500e+15 1.040000000000000036e+00
-2.707638569324497500e+15 5.695084006861377344e+13 -1.000000000000000021e-02 3.000000000000000000e+02 -2.642021390279135000e+15 -2.642021390279140500e+15 9.133333333333333304e-01
-2.642021390279140500e+15 5.663437693837280469e+13 -1.333333333333333419e-02 3.000000000000000000e+02 -2.520991797345822500e+15 -2.520991797345828000e+15 6.999999999999999556e-01
-2.520991797345828000e+15 5.966839399246180469e+13 -1.666666666666666644e-02 3.000000000000000000e+02 -2.492360137743048000e+15 -2.492360137743053500e+15 8.800000000000000044e-01
-2.492360137743053500e+15 3.948229074668613281e+13 -2.000000000000000042e-02 3.000000000000000000e+02 -2.472099864606587000e+15 -2.472099864606592500e+15 1.159999999999999920e+00
-2.472099864606592500e+15 4.694434907964664062e+13 -2.333333333333333440e-02 3.000000000000000000e+02 -2.126983031068206000e+15 -2.126983031068211750e+15 2.000000000000000111e-01
-2.126983031068211750e+15 1.994551973459556250e+14 -2.666666666666666838e-02 3.000000000000000000e+02 -1.794617894293126500e+15 -1.794617894293132250e+15 1.593333333333333268e+00
-1.794617894293132250e+15 2.617834014086669688e+14 -3.000000000000000236e-02 3.000000000000000000e+02 -1.716849272168877500e+15 -1.716849272168883250e+15 1.600000000000000089e+00
-1.716849272168883250e+15 3.834044775906505469e+13 -3.333333333333333287e-02 3.000000000000000000e+02 -1.558262803185519750e+15 -1.558262803185525500e+15 8.599999999999999867e-01
-1.558262803185525500e+15 9.582755248061831250e+13 -3.666666666666666685e-02 3.000000000000000000e+02 -1.539410061129065750e+15 -1.539410061129071500e+15 1.919999999999999929e+00
-1.539410061129071500e+15 7.609955916085260938e+13 -4.000000000000000083e-02 3.000000000000000000e+02 -1.436817565892520500e+15 -1.436817565892526250e+15 4.000000000000000222e-01
-1.436817565892526250e+15 7.167325262220281250e+13 -4.333333333333333481e-02 3.000000000000000000e+02 -1.136070746173931500e+15 -1.136070746173937250e+15 3.800000000000000044e-01
-1.136070746173937250e+15 1.328595160747307500e+14 -4.666666666666666879e-02 3.000000000000000000e+02 -1.039737016260487750e+15 -1.039737016260493500e+15 1.266666666666666774e-01
-1.039737016260493500e+15 4.171372867317500781e+13 -5.000000000000000278e-02 3.000000000000000000e+02 -8.116023444659167500e+14 -8.116023444659225000e+14 1.253333333333333410e+00
-8.116023444659225000e+14 1.213113760926909375e+14 -5.333333333333333676e-02 3.000000000000000000e+02 -7.851121314773557500e+14 -7.851121314773615000e+14 1.873333333333333295e+00
-7.851121314773615000e+14 6.930450593873453906e+13 -5.666666666666667074e-02 3.000000000000000000e+02 -7.154237330538260000e+14 -7.154237330538317500e+14 1.446666666666666767e+00
-7.154237330538317500e+14 4.024000079276131250e+13 -6.000000000000000472e-02 3.000000000000000000e+02 -7.112077490615888750e+14 -7.112077490615946250e+14 9.533333333333333659e-01
-7.112077490615946250e+14 3.599752885198350000e+13 -6.333333333333333870e-02 3.000000000000000000e+02 -7.047055201469953750e+14 -7.047055201470011250e+14 2.999999999999999889e-01
-7.047055201470011250e+14 2.176961932684085156e+13 -6.666666666666666574e-02 3.000000000000000000e+02 -6.924571051792617500e+14 -6.924571051792675000e+14 1.546666666666666634e+00
-6.924571051792675000e+14 8.223157012487670898e+12 -6.999999999999999278e-02 3.000000000000000000e+02 -6.514986249437435000e+14 -6.514986249437492500e+14 7.666666666666667185e-01
-6.514986249437492500e+14 2.256707932816644141e+13 -7.333333333333331983e-02 3.000000000000000000e+02 -5.444087255710176250e+14 -5.444087255710233750e+14 1.606666666666666687e+00
-5.444087255710233750e+14 6.128799821615308594e+13 -7.666666666666664687e-02 3.000000000000000000e+02 -5.225326664434206250e+14 -5.225326664434264375e+14 1.226666666666666572e+00
-5.225326664434264375e+14 9.472611469594375000e+12 -7.999999999999997391e-02 3.000000000000000000e+02 -5.140014761822233125e+14 -5.140014761822291250e+14 3.333333333333333287e-02
-5.140014761822291250e+14 1.114062891404279102e+13 -8.333333333333330095e-02 3.000000000000000000e+02 -4.485132475897003750e+14 -4.485132475897061875e+14 8.533333333333333881e-01
-4.485132475897061875e+14 3.407546752713325781e+13 -8.666666666666662799e-02 3.000000000000000000e+02 -4.347595210328997500e+14 -4.347595210329055625e+14 6.933333333333333570e-01
-4.347595210329055625e+14 2.180977946532255469e+13 -8.999999999999995504e-02 3.000000000000000000e+02 -4.207271396693095000e+14 -4.207271396693153125e+14 7.800000000000000266e-01
-4.207271396693153125e+14 9.004069635013402344e+12 -9.333333333333328208e-02 3.000000000000000000e+02 -3.997574046288686250e+14 -3.997574046288744375e+14 3.666666666666666408e-01
-3.997574046288744375e+14 1.682336484479301562e+13 -9.666666666666660912e-02 3.000000000000000000e+02 -3.785630009421626250e+14 -3.785630009421684375e+14 1.366666666666666696e+00
-3.785630009421684375e+14 2.420016394062060547e+13 -9.999999999999993616e-02 3.000000000000000000e+02 -3.785615505259226250e+14 -3.785615505259284375e+14 1.919999999999999929e+00
-3.785615505259284375e+14 5.858042422960996094e+12 -1.033333333333332632e-01 3.000000000000000000e+02 -3.686417202930738125e+14 -3.686417202930796250e+14 1.020000000000000018e+00
-3.686417202930796250e+14 2.741696238865176758e+12 -1.066666666666665902e-01 3.000000000000000000e+02 -3.649026439600035000e+14 -3.649026439600093125e+14 1.353333333333333277e+00
-3.649026439600093125e+14 3.755394532311878418e+12 -1.099999999999999173e-01 3.000000000000000000e+02 -3.521607848133160000e+14 -3.521607848133218125e+14 1.573333333333333250e+00
